Lot URL,Lot Number,Est. Retail Value,Year,Make,Model,Expected Sale Date,Engine Type,State of Ownership Doc Type,Ownership Doc Type,Odometer Description,Cylinders,VIN,Grid/Row,Odometer Reading,Damage Description,Current Bid,My Bid,Item Number,Location,Sale Status,Repair Estimate
https://www.copart.com/lotDetail/23996557,23996557,"$1,803",1986,TOYOTA,LONG BED 1,04/28/2017 02:00 PM CDT,2.4L  4,CA,SALVAGE CERTIFICATE,ACTUAL,4,JT4RN55R8G0213639,G170,203460.0,FRONT END,$0,$0,0,CA - VAN NUYS,Pure Sale,"$4,353"
https://www.copart.com/lotDetail/43710126,43710126,"$4,924",1986,TERR,CAMPER,04/28/2017 09:00 AM CDT,,SC,CERT OF TITLE-SALVAGE WATER,EXEMPT,,1EB3Z3120G1444485,1N060,0.0,TOP/ROOF,$0,$0,0,SC - COLUMBIA,Pure Sale,"$4,924"
https://www.copart.com/lotDetail/22245337,22245337,"$7,154",1986,CHEVROLET,CORVETTE,04/21/2017 09:00 AM CDT,5.7L  8,GA,CERT OF TITLE-SALVAGE,ACTUAL,8,1G1YY0782G5105782,2B040,107309.0,SIDE,$125,$0,0,SC - COLUMBIA,Pure Sale,"$6,305"
https://www.copart.com/lotDetail/21674597,21674597,"$1,578",1986,MERCEDES-BENZ,190E 2.3,05/02/2017 02:00 PM CDT,2.3L  4,CA,SALVAGE CERTIFICATE,ACTUAL,4,WDBDA24DXGF177426,H090,148456.0,BURN - ENGINE,$0,$0,0,CA - SACRAMENTO,Pure Sale,"$2,336"
https://www.copart.com/lotDetail/18665667,18665667,$0,1986,LRSO,OTHER,04/17/2017 01:00 PM CDT,,UT,CERTIFICATE OF TITLE,EXEMPT,,LAR07882F686,HD003,0.0,MINOR DENT/SCRATCHES,$30,$0,0,UT - OGDEN,On Approval,$0
https://www.copart.com/lotDetail/30425816,30425816,"$5,840",1986,ALFA ROMEO,SPIDER VEL,04/03/2017 09:00 AM CDT,2.0L  4,HI,CERTIFICATE OF SALVAGE,ACTUAL,4,ZARBA5414G1037214,D060,60784.0,FRONT END,"$1,150",$0,0,FL - JACKSONVILLE EAST,Pure Sale,"$7,121"
https://www.copart.com/lotDetail/19360307,19360307,"$1,721",1986,HONDA,VFR750F,05/03/2017 02:00 PM CDT,.8L  4,OR,SALVAGE TITLE CERTIFICATE,EXEMPT,4,JH2RC2415GM000745,MC003,34261.0,ALL OVER,$0,$0,0,OR - PORTLAND NORTH,Minimum Bid,$0
https://www.copart.com/lotDetail/23598047,23598047,$0,1986,KAWASAKI,ZG1200,05/02/2017 09:00 AM CDT,1.2L  4,NJ,CERTIFICATE OF TITLE,ACTUAL,4,JKAZG9A12GA000322,MCI,49225.0,MINOR DENT/SCRATCHES,$0,$0,0,NJ - GLASSBORO EAST,On Approval,$0
https://www.copart.com/lotDetail/23329977,23329977,"$6,200",1986,FORD,THUNDERBIR,05/02/2017 09:00 AM CDT,4.9L  8,FL,CERT OF DESTRUCT-NO VIN PLATE,EXEMPT,8,1FABP46FXGH177342,E040,0.0,BURN,$0,$0,0,FL - OCALA,Pure Sale,$0
https://www.copart.com/lotDetail/25039707,25039707,"$1,926",1986,TOYOTA,STANDARD B,04/28/2017 02:00 PM CDT,2.4L  4,CA,SALVAGE CERTIFICATE,ACTUAL,4,JT4RN50R0G0109539,J030,250066.0,SIDE,$225,$0,0,CA - BAKERSFIELD,Pure Sale,"$3,879"
https://www.copart.com/lotDetail/18892247,18892247,"$1,964",1986,TOYOTA,COROLLA DE,04/20/2017 09:00 AM CDT,1.6L  4,PA,CERTIFICATE OF SALVAGE,ACTUAL,4,JT2AE82E2G3406618,A070,56390.0,FRONT END,$150,$0,0,PA - PITTSBURGH NORTH,Pure Sale,"$2,635"
https://www.copart.com/lotDetail/22970207,22970207,"$1,625",1986,DODGE,RAM VAN B1,04/17/2017 01:00 PM CDT,5.2L  8,CO,SALVAGE TITLE,EXEMPT,8,2B7GB13T9GK578384,CC070,0.0,BURN - INTERIOR,$0,$0,0,CO - DENVER SOUTH,Pure Sale,"$1,625"
https://www.copart.com/lotDetail/44474476,44474476,"$15,105",1986,MERCEDES-BENZ,560SL,04/13/2017 12:00 PM CDT,5.6L  8,IL,SALVAGE CERTIFICATE,EXEMPT,8,WDBBA48DXGA055031,B110,54853.0,FRONT END,"$2,450",$0,0,IL - CHICAGO NORTH,Pure Sale,"$10,448"
https://www.copart.com/lotDetail/24196017,24196017,"$1,591",1986,CHEVROLET,C10,05/05/2017 09:00 AM CDT,5.0L  8,FL,CERTIFICATE OF DESTRUCTION,EXEMPT,8,1GCDC14H0GF332137,Q060,68682.0,REAR END,$0,$0,0,FL - TAMPA SOUTH,Pure Sale,"$6,121"
https://www.copart.com/lotDetail/24414327,24414327,"$1,925",1986,CHEVROLET,S10,05/04/2017 12:00 PM CDT,2.5L  4,TN,SALVAGE CERTIFICATE,ACTUAL,4,1GCBS14EXG2160142,E090,256112.0,REAR END,$0,$0,0,TN - MEMPHIS,Pure Sale,$0
https://www.copart.com/lotDetail/25503827,25503827,"$2,438",1986,GMC,C2500,05/03/2017 09:00 AM CDT,7.4L  8,FL,CERT OF TITLE-SLVG&SLVG REBILD,EXEMPT,8,1GTGC24W2GS533255,B010,69010.0,REAR END,$0,$0,0,FL - FT. PIERCE,Pure Sale,"$2,596"
https://www.copart.com/lotDetail/40907366,40907366,$0,1986,KAWASAKI,KX125-E,04/13/2017 12:00 PM CDT,.1L  1,IL,CERTIFICATE OF TITLE,EXEMPT,1,JKAKXRE17GA001980,MC006,0.0,NORMAL WEAR,$60,$0,0,IL - CHICAGO NORTH,On Approval,$0
https://www.copart.com/lotDetail/41546026,41546026,$800,1986,FORD,F250,04/04/2017 02:00 PM CDT,6.9L  8,WA,VEHICLE CERT OF OWNERSHIP-TITL,EXEMPT,8,1FTHF2616GKB17075,SB003,27726.0,SIDE,$150,$0,2034,WA - GRAHAM,On Approval,$0
https://www.copart.com/lotDetail/45410866,45410866,$0,1986,CHEVROLET,CAMARO,04/04/2017 12:00 PM CDT,5.0L  8,TX,CERTIFICATE OF TITLE,ACTUAL,8,1G1FP87H3GL144708,SE007,97239.0,MECHANICAL,$0,$0,6111,TX - HOUSTON,On Approval,$0
https://www.copart.com/lotDetail/23813847,23813847,$0,1986,TRAI,TRAILER,04/06/2017 09:00 AM CDT,,NY,CERTIFICATE OF TITLE,EXEMPT,,11UNY1726G1000837,W100,0.0,UNDERCARRIAGE,$60,$0,0,NY - NEWBURGH,On Approval,$0
https://www.copart.com/lotDetail/23821667,23821667,"$5,971",1986,FORD,BRONCO II,04/10/2017 02:00 PM CDT,2.9L  6,CA,SALVAGE CERTIFICATE,ACTUAL,6,1FMCU14T4GUC18680,I070,4552.0,FRONT END,$0,$0,0,CA - SO SACRAMENTO,Pure Sale,$0
https://www.copart.com/lotDetail/23862787,23862787,"$35,000",1986,PORSCHE,928S,04/07/2017 02:00 PM CDT,4.7L  8,CA,CERT OF TITLE OR SALVAGE ACQ,EXEMPT,8,WP0JB092XGS861512,*OFF,109972.0,NORMAL WEAR,"$4,650",$0,0,CA - VAN NUYS,Minimum Bid,$0
https://www.copart.com/lotDetail/23937477,23937477,$0,1986,FORD,E350,04/06/2017 02:00 PM CDT,7.5L  8,CA,SALVAGE ACQUISITION BILLOFSALE,ACTUAL,8,1FDKE30LXGHB02810,FF030,15979.0,MINOR DENT/SCRATCHES,$0,$0,0,CA - HAYWARD,On Approval,$0
https://www.copart.com/lotDetail/24076847,24076847,$0,1986,OLDSMOBILE,DELTA 88 R,05/02/2017 02:00 PM CDT,3.8L  6,CA,LIEN PAPERS-CLEAN OR AC,ACTUAL,6,1G3HN6935GW314741,CC050,104928.0,MINOR DENT/SCRATCHES,$0,$0,0,CA - SAN JOSE,On Approval,$0
https://www.copart.com/lotDetail/24132616,24132616,$0,1986,SAIL,MARINE/TRL,04/04/2017 02:00 PM CDT,,CA,CERT OF TITLE OR SALVAGE ACQ,EXEMPT,,MACR4220D686,1HV40,0.0,ALL OVER,$0,$0,702,CA - SACRAMENTO,On Approval,$0
